Source,Lever type,year,value,CPI,ExpensesGrowth
Baseline,expenditure,FY27,181392573.6,2.5,3.25
Baseline,expenditure,FY27,181831780.79999998,2.5,3.5
Baseline,expenditure,FY27,182270988.00000003,2.5,3.75
Baseline,expenditure,FY27,182710195.20000002,2.5,4
Baseline,expenditure,FY27,183149402.4,2.5,4.25
Baseline,expenditure,FY27,183588609.6,2.5,4.5
Baseline,expenditure,FY27,184027816.8,2.5,4.75
Baseline,expenditure,FY27,184467024,2.5,5
Baseline,expenditure,FY27,184906231.2,2.5,5.25
Baseline,expenditure,FY27,179196537.6,2.6,2
Baseline,expenditure,FY27,179635744.79999998,2.6,2.25
Baseline,expenditure,FY27,180074951.99999997,2.6,2.5
Baseline,expenditure,FY27,180514159.20000002,2.6,2.75
Baseline,expenditure,FY27,180953366.4,2.6,3
Baseline,expenditure,FY27,181392573.6,2.6,3.25
Baseline,expenditure,FY27,181831780.79999998,2.6,3.5
Baseline,expenditure,FY27,182270988.00000003,2.6,3.75
Baseline,expenditure,FY27,182710195.20000002,2.6,4
Baseline,expenditure,FY27,183149402.4,2.6,4.25
Baseline,expenditure,FY27,183588609.6,2.6,4.5
Baseline,expenditure,FY27,184027816.8,2.6,4.75
Baseline,expenditure,FY27,184467024,2.6,5
Baseline,expenditure,FY27,184906231.2,2.6,5.25
Baseline,expenditure,FY27,179196537.6,2.7,2
Baseline,expenditure,FY27,179635744.79999998,2.7,2.25
Baseline,expenditure,FY27,180074951.99999997,2.7,2.5
Baseline,expenditure,FY27,180514159.20000002,2.7,2.75
Baseline,expenditure,FY27,180953366.4,2.7,3
Baseline,expenditure,FY27,181392573.6,2.7,3.25
Baseline,expenditure,FY27,181831780.79999998,2.7,3.5
Baseline,expenditure,FY27,182270988.00000003,2.7,3.75
Baseline,expenditure,FY27,182710195.20000002,2.7,4
Baseline,expenditure,FY27,183149402.4,2.7,4.25
Baseline,expenditure,FY27,183588609.6,2.7,4.5
Baseline,expenditure,FY27,184027816.8,2.7,4.75
Baseline,expenditure,FY27,184467024,2.7,5
Baseline,expenditure,FY27,184906231.2,2.7,5.25
Baseline,expenditure,FY27,179196537.6,2.8,2
Baseline,expenditure,FY27,179635744.79999998,2.8,2.25
Baseline,expenditure,FY27,180074951.99999997,2.8,2.5
Baseline,expenditure,FY27,180514159.20000002,2.8,2.75
Baseline,expenditure,FY27,180953366.4,2.8,3
Baseline,expenditure,FY27,181392573.6,2.8,3.25
Baseline,expenditure,FY27,181831780.79999998,2.8,3.5
Baseline,expenditure,FY27,182270988.00000003,2.8,3.75
Baseline,expenditure,FY27,182710195.20000002,2.8,4
Baseline,expenditure,FY27,183149402.4,2.8,4.25
Baseline,expenditure,FY27,183588609.6,2.8,4.5
Baseline,expenditure,FY27,184027816.8,2.8,4.75
Baseline,expenditure,FY27,184467024,2.8,5
Baseline,expenditure,FY27,184906231.2,2.8,5.25
Baseline,expenditure,FY27,179196537.6,2.9,2
Baseline,expenditure,FY27,179635744.79999998,2.9,2.25
Baseline,expenditure,FY27,180074951.99999997,2.9,2.5
Baseline,expenditure,FY27,180514159.20000002,2.9,2.75
Baseline,expenditure,FY27,180953366.4,2.9,3
Baseline,expenditure,FY27,181392573.6,2.9,3.25
Baseline,expenditure,FY27,181831780.79999998,2.9,3.5
